geo,country,year,value,source
AT,Austria,2002,11262,Eurostat migr_pop3ctb
AT,Austria,2003,11522,Eurostat migr_pop3ctb
AT,Austria,2004,11741,Eurostat migr_pop3ctb
AT,Austria,2005,11880,Eurostat migr_pop3ctb
AT,Austria,2006,12023,Eurostat migr_pop3ctb
AT,Austria,2007,12412,Eurostat migr_pop3ctb
AT,Austria,2008,12869,Eurostat migr_pop3ctb
AT,Austria,2009,12897,Eurostat migr_pop3ctb
AT,Austria,2012,13468,Eurostat migr_pop3ctb
AT,Austria,2013,14822,Eurostat migr_pop3ctb
AT,Austria,2014,15585,Eurostat migr_pop3ctb
AT,Austria,2015,16203,Eurostat migr_pop3ctb
AT,Austria,2016,19796,Eurostat migr_pop3ctb
AT,Austria,2017,22379,Eurostat migr_pop3ctb
AT,Austria,2018,23067,Eurostat migr_pop3ctb
AT,Austria,2019,24044,Eurostat migr_pop3ctb
AT,Austria,2020,24733,Eurostat migr_pop3ctb
AT,Austria,2021,25108,Eurostat migr_pop3ctb
AT,Austria,2022,25861,Eurostat migr_pop3ctb
AT,Austria,2023,27313,Eurostat migr_pop3ctb
AT,Austria,2024,29364,Eurostat migr_pop3ctb
AT,Austria,2025,31135,Eurostat migr_pop3ctb
BE,Belgium,2008,7334,Eurostat migr_pop3ctb
BE,Belgium,2009,7837,Eurostat migr_pop3ctb
BE,Belgium,2010,8569,Eurostat migr_pop3ctb
BE,Belgium,2011,10203,Eurostat migr_pop3ctb
BE,Belgium,2012,10381,Eurostat migr_pop3ctb
BE,Belgium,2013,10668,Eurostat migr_pop3ctb
BE,Belgium,2014,10526,Eurostat migr_pop3ctb
BE,Belgium,2015,10554,Eurostat migr_pop3ctb
BE,Belgium,2016,10668,Eurostat migr_pop3ctb
BE,Belgium,2017,10794,Eurostat migr_pop3ctb
BE,Belgium,2018,11112,Eurostat migr_pop3ctb
BE,Belgium,2019,11703,Eurostat migr_pop3ctb
BE,Belgium,2020,12510,Eurostat migr_pop3ctb
BE,Belgium,2021,13039,Eurostat migr_pop3ctb
BE,Belgium,2022,13538,Eurostat migr_pop3ctb
BE,Belgium,2023,14315,Eurostat migr_pop3ctb
BE,Belgium,2024,16704,Eurostat migr_pop3ctb
BE,Belgium,2025,17480,Eurostat migr_pop3ctb
CH,Switzerland,2001,5284,Eurostat migr_pop3ctb
CH,Switzerland,2010,8030,BFS STATPOP
CH,Switzerland,2011,8030,Eurostat migr_pop3ctb
CH,Switzerland,2012,8521,Eurostat migr_pop3ctb
